,1,,,,2,,,,3,,,,4,,,
,,169,204,275,,169,204,275,,169,204,275,,169,204,275
0,0,46.38655899,37.96441625,39.64465518,0,46.38618334,37.9636846,39.64431006,0,46.38648605,37.96428733,39.64453787,0,46.40115701,37.97888007,39.67669519
900,0,46.42318602,37.99984328,39.65809553,0,46.42278462,37.99908544,39.65772173,0,46.42311314,37.99971328,39.65797468,0,46.43886871,38.01543901,39.69186316
1800,0,46.46028918,38.03576817,39.67407675,0,46.45986178,38.03498381,39.67367446,0,46.46021664,38.03563738,39.67395288,0,46.47704016,38.05247608,39.70946114
2700,0,46.49774944,38.07207195,39.69218746,0,46.49729582,38.07126083,39.69175671,0,46.4976776,38.07194074,39.6920611,0,46.5155723,38.08989496,39.72914769
3600,0,47.39010215,39.215337,40.1912397,0,47.38943981,39.21457551,40.19065564,0,47.38996356,39.21512359,40.19100549,0,47.41588223,39.24111278,40.23873409
4500,1,0,39.28323348,40.23869286,0,47.4578567,39.28245209,40.23808839,0,47.45841163,39.28303156,40.23846629,0,47.48508745,39.30979936,40.28721964
5400,1,0,39.35139614,40.28743164,0,47.5265475,39.3505949,40.2868069,0,47.52713377,39.35120588,40.28721304,0,47.55455651,39.37874132,40.33696229
6300,0,47.59614612,39.41974033,40.33730075,0,47.59542548,39.41891859,40.33665559,0,47.59604356,39.41956184,40.33709043,1,45.62420252,39.44785354,40.38780566
7200,0,48.34291659,40.19229383,41.10833186,0,48.34225755,40.19153821,41.10772302,0,48.34289005,40.19219707,41.10820558,0,48.37550892,40.22498891,41.16368484
8100,0,48.44427307,40.29382791,41.20367169,1,0,40.29305699,41.2030464,0,48.44425882,40.2937433,41.20355543,0,48.47764797,40.32732626,41.2600094
9000,0,48.54544194,40.39516266,41.29921614,0,48.54475223,40.39437656,41.29857461,0,48.54544015,40.39509036,41.29911017,0,48.5795864,40.42945051,41.35651018
9900,0,48.64639468,40.49627002,41.39490617,0,48.64568977,40.49546882,41.39424857,0,48.64640548,40.49621018,41.39481075,0,48.68129732,40.53133528,41.45313156
10800,0,48.72669386,40.57713359,41.42968735,0,48.72598283,40.57632711,41.42902243,0,48.72671809,40.57708847,41.42960422,0,48.7626566,40.61330702,41.48962463
11700,0,48.82670179,40.67724775,41.52497994,0,48.82597589,40.6764265,41.52429944,0,48.82673866,40.67721514,41.52490761,0,48.86342354,40.71419856,41.58583457
12600,1,50.92643852,40.77708171,41.6202974,0,48.92569782,40.77624576,41.61960143,0,48.92648818,40.77706175,41.62023607,0,48.96391067,40.81480065,41.68205031
13500,1,47.02588898,40.87662077,41.71560437,0,49.02513352,40.87577017,41.71489305,0,49.02595154,40.87661358,41.71555424,1,0,40.91509941,41.77823832
14400,0,50.26122875,42.1600679,43.09620143,0,50.26063638,42.159416,43.09562502,0,50.26139447,42.16018054,43.09628612,1,0,42.20396502,43.1640969
15300,0,48.52147799,40.49283363,41.59683762,1,50.52137378,40.49265818,41.59671958,1,46.52170024,40.49301776,41.59698148,1,0,40.51249577,41.6403032
16200,0,48.56768204,40.54030777,41.6512032,1,46.56756978,40.54012476,41.65107851,0,48.56791231,40.54050037,41.65135498,0,48.58714939,40.56063028,41.69528515
17100,0,48.61353506,40.58736364,41.70498284,1,50.61341498,40.58717327,41.70485167,0,48.61377336,40.58756471,41.70514256,0,48.63365764,40.60834216,41.74968071
18000,0,48.45094497,40.40885633,41.49132574,0,48.45084936,40.40867797,41.4912131,0,48.45116867,40.40904178,41.49146266,0,48.46826025,40.42717801,41.53400009
18900,0,48.46995654,40.42936478,41.5188893,0,48.46985529,40.42918122,41.51877231,0,48.47018803,40.42955871,41.51903375,0,48.48769626,40.44811858,41.56196881
19800,0,48.48855504,40.4493628,41.54577308,0,48.4884483,40.44917418,41.54565185,0,48.48879454,40.44956542,41.54592527,0,48.50671787,40.46854819,41.58925817
20700,0,48.50669392,40.46882243,41.57193697,0,48.50658186,40.46862885,41.57181163,0,48.50694158,40.46903389,41.57209704,0,48.525289,40.48844176,41.61583777
21600,0,48.68336679,40.65103876,41.76070101,0,48.68319218,40.65079,41.76052477,0,48.68363374,40.65126932,41.76088454,0,48.70653389,40.67508046,41.80858059
22500,0,48.72545596,40.69377505,41.80810111,0,48.7252733,40.69351851,41.80791781,0,48.72573194,40.69401491,41.80829343,0,48.74929427,40.71849292,41.85664026
23400,0,48.76708272,40.73601296,41.85488159,0,48.76689203,40.73574864,41.85469122,1,50.76736773,40.7362621,41.85508274,0,48.79159088,40.76140559,41.90408026
24300,0,48.80824871,40.77775597,41.90104812,0,48.80804999,40.77748387,41.90085065,1,46.80854274,40.77801439,41.90125812,0,48.83342527,40.80382186,41.95090608
25200,1,50.70313075,40.64657781,41.72585443,0,48.70291532,40.64627849,41.72564405,1,46.70339729,40.64680632,41.72602842,0,48.72729698,40.67162476,41.77507606
26100,0,48.73209511,40.67570013,41.75631308,0,48.73186886,40.67539019,41.75609298,0,48.732372,40.67593881,41.75649665,0,48.75703974,40.70153002,41.80633267
27000,0,48.76074617,40.70449986,41.78642423,0,48.76050908,40.70417926,41.78619432,0,48.7610335,40.70474881,41.78661751,0,48.78646093,40.73110425,41.83723371
27900,0,48.78909405,40.73298759,41.81619844,0,48.7888461,40.73265632,41.81595866,0,48.78939191,40.73324691,41.81640155,0,48.81557072,40.76035809,41.86778976
28800,0,48.88834031,40.84272934,41.91861157,0,48.888081,40.84239129,41.91836022,0,48.88866941,40.84302175,41.9188482,0,48.91668775,40.87201415,41.97226679
29700,0,48.92364229,40.87826691,41.95654997,0,48.92337374,40.87791978,41.9562901,0,48.92398163,40.8785697,41.95679655,0,48.95269304,40.9082587,42.01092233
30600,0,48.95858376,40.9134307,41.99405092,0,48.95830596,40.91307448,41.99378248,0,48.95893332,40.91374386,41.99430744,0,48.98833307,40.94412468,42.04913599
31500,0,48.99317337,40.94823017,42.03112508,0,48.99288631,40.94786485,42.03084802,0,48.99353328,40.94855373,42.03139169,0,49.02361668,40.97962154,42.0869186
32400,0,48.85653949,40.8050317,41.89502574,0,48.85628313,40.80469163,41.89477703,0,48.85687272,40.8053248,41.89526069,0,48.88382978,40.8332148,41.94790149
33300,0,48.85682064,40.80624778,41.89977616,0,48.85655638,40.8058999,41.89952027,0,48.85716334,40.80655017,41.90001996,0,48.88465951,40.83498268,41.95321164
