,1,,,,2,,,,3,,,,,,,
,,169,204,275,,169,204,275,,169,204,275,,169,204,275
0,0,46.38705116,37.9648229,39.64466944,0,46.38648605,37.96428733,39.64453787,0,46.40259958,37.98102657,39.67799415,0,46.38683264,37.96459399,39.64418468
900,0,46.42371166,38.00028244,39.65814031,0,46.42311314,37.99971328,39.65797468,0,46.44040514,38.01768401,39.69327042,0,46.42347634,38.0000357,39.65763684
1800,0,46.46084732,38.03623874,39.67414817,0,46.46021664,38.03563738,39.67395288,0,46.47867032,38.05481931,39.71097361,0,46.46059386,38.03597277,39.67362298
2700,0,46.49833961,38.07257343,39.69228374,0,46.4976776,38.07194074,39.6920611,0,46.51729697,38.0923371,39.73076544,0,46.49806685,38.07228706,39.69173462
3600,0,47.39137116,39.21651231,40.19180252,0,47.38996356,39.21512359,40.19100549,0,47.41925766,39.24509004,40.2418607,0,47.39088388,39.21600777,40.19090503
4500,0,47.45984707,39.28444701,40.2392748,0,47.45841163,39.28303156,40.23846629,0,47.48855347,39.31387185,40.2904477,0,47.45933594,39.2839174,40.23833766
5400,0,47.52859567,39.35264662,40.28803029,0,47.52713377,39.35120588,40.28721304,0,47.55811271,39.38290835,40.34029034,0,47.52806094,39.35209223,40.28705438
6300,0,47.59753037,39.42102627,40.33791341,0,47.59604356,39.41956184,40.33709043,0,47.62784842,39.45211446,40.39123208,0,47.5969725,39.42044758,40.33689996
7200,1,47.52859567,39.35264662,41.10905492,1,47.38996356,39.21512359,41.10820558,0,48.37882194,40.22879075,41.16687142,0,48.34366515,40.192944,41.10805868
8100,1,47.59753037,39.42102627,41.20437369,1,47.45841163,39.28303156,41.20355543,0,48.48102516,40.33119366,41.26326638,0,48.44500516,40.29445927,41.20333682
9000,0,48.54679316,40.39642983,41.29990044,1,47.52713377,39.35120588,41.29911017,0,48.58302723,40.43338284,41.35983651,0,48.54615999,40.3957777,41.29882481
9900,0,48.64775824,40.49754816,41.39557573,1,47.59604356,39.41956184,41.39481075,0,48.68480132,40.53533196,41.45652629,0,48.64710075,40.49687089,41.39446297
10800,0,48.72804727,40.57840115,41.43031796,0,48.72671809,40.57708847,41.42960422,0,48.76618193,40.61732272,41.49304505,0,48.72737036,40.57770377,41.42917449
11700,0,48.82806966,40.67852851,41.52560123,0,48.82673866,40.67721514,41.52490761,0,48.86701057,40.71827696,41.58932124,0,48.82736993,40.67780755,41.52442384
12600,0,48.92782173,40.77837656,41.62091142,0,48.92648818,40.77706175,41.62023607,0,48.96755901,40.81894128,41.68560251,0,48.92709966,40.77763254,41.61970124
13500,0,49.02728827,40.8779305,41.71621296,0,49.02595154,40.87661358,41.71555424,0,49.06781299,40.91930183,41.78185539,0,49.02654429,40.87716387,41.71497101
14400,0,50.26220663,42.16099242,43.09658137,0,50.26139447,42.16018054,43.09628612,0,50.30768505,42.20696971,43.16683753,0,50.26153888,42.16031342,43.09555425
