,1,,,,2,,,,3,,,
,,169,204,275,,169,204,275,,169,204,275
0,0,46.38683264,37.96459399,39.64418468,0,46.38648605,37.96428733,39.64453787,0,46.40246147,37.980882,39.67769251
900,0,46.42347634,38.0000357,39.65763684,0,46.42311314,37.99971328,39.65797468,0,46.44025878,38.01753066,39.69296175
1800,0,46.46059386,38.03597277,39.67362298,0,46.46021664,38.03563738,39.67395288,0,46.4785141,38.0546555,39.71065427
2700,0,46.49806685,38.07228706,39.69173462,0,46.4976776,38.07194074,39.6920611,0,46.51713033,38.09216228,39.73043447
3600,0,47.39088388,39.21600777,40.19090503,0,47.38996356,39.21512359,40.19100549,0,47.41898419,39.24480699,40.24136075
4500,0,47.45933594,39.2839174,40.23833766,0,47.45841163,39.28303156,40.23846629,0,47.48826936,39.31357758,40.2899308
5400,0,47.52806094,39.35209223,40.28705438,0,47.52713377,39.35120588,40.28721304,0,47.55781683,39.38260172,40.33975448
6300,0,47.5969725,39.42044758,40.33689996,0,47.59604356,39.41956184,40.33709043,0,47.62753986,39.45179452,40.39067565
7200,1,47.52806094,39.35209223,40.28705438,1,47.52713377,39.35120588,40.28721304,1,46.51713033,38.09216228,39.73043447
8100,1,47.5969725,39.42044758,40.33689996,1,47.59604356,39.41956184,40.33709043,1,47.41898419,39.24480699,40.24136075
9000,0,48.54615999,40.3957777,41.29882481,0,48.54544015,40.39509036,41.29911017,1,47.48826936,39.31357758,40.2899308
9900,0,48.64710075,40.49687089,41.39446297,0,48.64640548,40.49621018,41.39481075,1,47.55781683,39.38260172,40.33975448
10800,0,48.72737036,40.57770377,41.42917449,0,48.72671809,40.57708847,41.42960422,1,47.62753986,39.45179452,40.39067565
11700,0,48.82736993,40.67780755,41.52442384,0,48.82673866,40.67721514,41.52490761,0,48.86659472,40.71784853,41.58861934
12600,0,48.92709966,40.77763254,41.61970124,0,48.92648818,40.77706175,41.62023607,0,48.96712456,40.81849363,41.68487115
