,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,,13,,,14,,,15,,,16,,,17,,,18,,,19,,,20,,,21,,
,169,204,275,169,204,275,169,204,275,169,204,275,169,204,275,169,204,275,169,204,275,169,204,275,169,204,275,169,204,275,169,204,275,169,204,275,169,204,275,169,204,275,169,204,275,169,204,275,169,204,275,169,204,275,169,204,275,169,204,275,169,204,275
0,46.38655899,37.96441625,39.64465518,46.38618334,37.9636846,39.64431006,46.38648605,37.96428733,39.64453787,46.38648605,37.96428733,39.64453787,46.38598773,37.96319746,39.64403239,46.40115701,37.97888007,39.67669519,46.40170903,37.97978925,39.67751455,46.40259958,37.98102657,39.67799415,46.40246147,37.980882,39.67769251,46.38705116,37.9648229,39.64466944,46.38683264,37.96459399,39.64418468,46.3779107,37.95568708,39.63667767,46.37777896,37.95545315,39.63667037,46.37786095,37.95552907,39.6367333,46.37766227,37.95536331,39.63678554,46.38714461,37.96509021,39.64512455,46.38732585,37.96525753,39.64526376,46.38751348,37.96555486,39.64543673,46.34822336,37.92441447,39.56033449,46.38722324,37.96511909,39.64495938,46.38726051,37.96515813,39.64504206
900,46.42318602,37.99984328,39.65809553,46.42278462,37.99908544,39.65772173,46.42311314,37.99971328,39.65797468,46.42311314,37.99971328,39.65797468,46.42258185,37.99858773,39.65743096,46.43886871,38.01543901,39.69186316,46.43946076,38.01639158,39.69273028,46.44040514,38.01768401,39.69327042,46.44025878,38.01753066,39.69296175,46.42371166,38.00028244,39.65814031,46.42347634,38.0000357,39.65763684,46.41397139,37.99052321,39.6494819,46.41383079,37.99028042,39.64946273,46.41391791,37.99036159,39.64953123,46.41370296,37.99017994,39.64956462,46.42381457,38.00056055,39.65861,46.424009,38.00074116,39.65876293,46.42421049,38.00105305,39.65895095,46.3819706,37.95682849,39.56916386,46.42389867,38.00059477,39.65844958,46.42394006,38.00063816,39.65853821
1800,46.46028918,38.03576817,39.67407675,46.45986178,38.03498381,39.67367446,46.46021664,38.03563738,39.67395288,46.46021664,38.03563738,39.67395288,46.45965214,38.03447589,39.67337144,46.47704016,38.05247608,39.70946114,46.47767227,38.05347196,39.71037522,46.47867032,38.05481931,39.71097361,46.4785141,38.0546555,39.71065427,46.46084732,38.03623874,39.67414817,46.46059386,38.03597277,39.67362298,46.45049979,38.02584956,39.66482564,46.45035097,38.02559857,39.66479663,46.45044332,38.02568507,39.6648707,46.45021264,38.02548809,39.66488753,46.46096135,38.03652944,39.67463643,46.4611692,38.03672355,39.67480315,46.4613847,38.03705017,39.67500616,46.41614282,37.98968755,39.58065807,46.46105024,38.03656825,39.67447861,46.46109581,38.03661606,39.67457325
2700,46.49774944,38.07207195,39.69218746,46.49729582,38.07126083,39.69175671,46.4976776,38.07194074,39.6920611,46.4976776,38.07194074,39.6920611,46.49707968,38.07074321,39.69144215,46.5155723,38.08989496,39.72914769,46.5162463,38.09093592,39.7301117,46.51729697,38.0923371,39.73076544,46.51713033,38.09216228,39.73043447,46.49833961,38.07257343,39.69228374,46.49806685,38.07228706,39.69173462,46.48737975,38.06154982,39.68229734,46.48722313,38.06129106,39.68225971,46.48732078,38.06138297,39.6823394,46.48707487,38.06117118,39.68234136,46.49846588,38.07287787,39.69279276,46.49868736,38.07308571,39.69297341,46.49891704,38.07342719,39.69319146,46.45070134,38.02296314,39.59451801,46.49855903,38.07292069,39.69263617,46.49860883,38.07297298,39.6927368
3600,47.39010215,39.215337,40.1912397,47.38943981,39.21457551,40.19065564,47.38996356,39.21512359,40.19100549,47.38996356,39.21512359,40.19100549,47.38877679,39.21340123,40.18985144,47.41588223,39.24111278,40.23873409,47.4171633,39.24281416,40.24042954,47.41925766,39.24509004,40.2418607,47.41898419,39.24480699,40.24136075,47.39137116,39.21651231,40.19180252,47.39088388,39.21600777,40.19090503,47.37503652,39.20002452,40.17649798,47.37474086,39.19969642,40.17639329,47.37494635,39.19989452,40.17656712,47.37441256,39.19939952,40.17638969,47.39139901,39.21660737,40.19234422,47.39183412,39.21702698,40.19271283,47.39227208,39.21759377,40.19312733,47.32038976,39.14387686,40.06377024,47.3917369,39.21702209,40.19231009,47.39183188,39.21712044,40.19248579
4500,47.45853837,39.28323348,40.23869286,47.4578567,39.28245209,40.23808839,47.45841163,39.28303156,40.23846629,47.45841163,39.28303156,40.23846629,47.45719487,39.28127551,40.23727751,47.48508745,39.30979936,40.28721964,47.48641448,39.3115508,40.28898015,47.48855347,39.31387185,40.2904477,47.48826936,39.31357758,40.2899308,47.45984707,39.28444701,40.2392748,47.45933594,39.2839174,40.23833766,47.44310265,39.26754346,40.22352267,47.44280185,39.26721009,40.22341609,47.44301341,39.26741434,40.22359638,47.44245944,39.26689971,40.22340479,47.45988394,39.28455255,40.23984649,47.46033553,39.28498867,40.24023173,47.46078915,39.285572,40.2406627,47.38681719,39.2096979,40.10849443,47.46023079,39.28497623,40.23981063,47.46033099,39.28508006,40.23999515
5400,47.5272485,39.35139614,40.28743164,47.5265475,39.3505949,40.2868069,47.52713377,39.35120588,40.28721304,47.52713377,39.35120588,40.28721304,47.52588715,39.34941649,40.28599,47.55455651,39.37874132,40.33696229,47.55592904,39.38054212,40.33878644,47.55811271,39.38290835,40.34029034,47.55781683,39.38260172,40.33975448,47.52859567,39.35264662,40.28803029,47.52806094,39.35209223,40.28705438,47.51144278,39.33532869,40.2718362,47.51113692,39.33499016,40.27172788,47.51135455,39.33520056,40.27191459,47.51078104,39.33466693,40.27171006,47.52864284,39.35276397,40.28863424,47.52911095,39.35321662,40.28903607,47.52958021,39.35381642,40.28948341,47.45353219,39.27580068,40.15455532,47.52899881,39.35319674,40.28859708,47.5291041,39.35330592,40.28879009
6300,47.59614612,39.41974033,40.33730075,47.59542548,39.41891859,40.33665559,47.59604356,39.41956184,40.33709043,47.59604356,39.41956184,40.33709043,47.59476719,39.41773938,40.33583364,47.62420252,39.44785354,40.38780566,47.62561979,39.44970273,40.38969141,47.62784842,39.45211446,40.39123208,47.62753986,39.45179452,40.39067565,47.59753037,39.42102627,40.33791341,47.5969725,39.42044758,40.33689996,47.57997095,39.40329581,40.32128419,47.57965992,39.40295193,40.32117399,47.57988362,39.40316848,40.32136705,47.57929154,39.4026169,40.3211515,47.59758939,39.42115716,40.33855218,47.598074,39.42162633,40.33897052,47.59855887,39.4222425,40.33943407,47.52045934,39.34211155,40.20181997,47.59795462,39.421599,40.33851429,47.59806486,39.42171337,40.33871545
7200,48.34291659,40.19229383,41.10833186,48.34225755,40.19153821,41.10772302,48.34289005,40.19219707,41.10820558,48.34289005,40.19219707,41.10820558,48.34173915,40.19062729,41.10705609,48.37550892,40.22498891,41.16368484,48.37688035,40.22667088,41.16549115,48.37882194,40.22879075,41.16687142,48.3785083,40.22846795,41.16633901,48.34424735,40.19354341,41.10905492,48.34366515,40.192944,41.10805868,48.32411358,40.17319334,41.08965514,48.32385743,40.17290697,41.08956504,48.32407224,40.17311579,41.08975642,48.32351911,40.17259609,41.08951401,48.34430077,40.19366113,41.10957091,48.34476596,40.19411324,41.1099856,48.34521313,40.19465353,41.11041925,48.25601579,40.10366009,40.96099823,48.34460054,40.19400199,41.10951567,48.34471783,40.19412275,41.1097174
