,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,
,169,204,275,169,204,275,169,204,275,169,204,275,169,204,275,169,204,275,169,204,275,169,204,275,169,204,275,169,204,275
0,46.38706059,37.96486174,39.64503785,46.38725335,37.96503056,39.64518456,46.38714354,37.96493456,39.64506553,46.3871228,37.96491541,39.64504961,46.38630229,37.96362455,39.64435452,46.3866089,37.9639457,39.64503511,46.38639194,37.96374897,39.64480446,46.38747897,37.96527103,39.64561847,46.3870516,37.96482336,39.64467042,46.38709667,37.96487058,39.64477041
900,46.42372045,38.00032213,39.65851328,46.42392431,38.00050237,39.65867229,46.42381624,38.00040698,39.6585515,46.42379394,38.00038628,39.65853397,46.42292086,37.99904153,39.65778031,46.42324776,37.99938426,39.6584798,46.42301778,37.999174,39.65823459,46.42417335,38.00076651,39.65912812,46.42370885,38.00027949,39.65813403,46.42375739,38.00033038,39.65823787
1800,46.46085695,38.03628085,39.67452958,46.46107206,38.03647263,39.67470083,46.46096593,38.03637815,39.67457881,46.46094205,38.03635585,39.67455966,46.46001588,38.03495656,39.67374784,46.46036382,38.03532162,39.67446826,46.46012042,38.03509742,39.67420793,46.46134418,38.0367601,39.67517772,46.46084125,38.03623235,39.6741349,46.46089353,38.03628721,39.67424322
2700,46.49835101,38.07261891,39.69267561,46.4985775,38.07282237,39.69285913,46.49847358,38.07272907,39.69273635,46.49844809,38.07270516,39.69271557,46.49746842,38.07125084,39.69184563,46.49783792,38.07163872,39.69258803,46.49758075,38.07140024,39.69231211,46.4988724,38.07313278,39.693356,46.49833009,38.07256341,39.69226332,46.49838634,38.07262247,39.69237658
3600,47.39125262,39.21643498,40.19221365,47.39168546,39.21684654,40.19257997,47.39152955,39.21669664,40.19238143,47.39147996,39.21664882,40.19233941,47.38948485,39.21414007,40.19061371,47.39019546,39.21487591,40.19192623,47.38971183,39.21440829,40.19141704,47.39233303,39.21750826,40.19357467,47.391339,39.21647899,40.19174115,47.39143948,39.21658303,40.19192622
4500,47.45972739,39.2843702,40.2397066,47.46017229,39.28479399,40.24008586,47.46002692,39.28465383,40.23989447,47.45997537,39.28460405,40.23985049,47.45792983,39.28204272,40.23806877,47.45866327,39.2828027,40.23941563,47.45816462,39.28231965,40.23888728,47.460848,39.28548409,40.2411095,47.45980734,39.2844058,40.23919915,47.45991273,39.284515,40.23939237
5400,47.52847609,39.35257162,40.28848498,47.52893304,39.35300763,40.2888771,47.52879836,39.35287738,40.28869313,47.52874484,39.35282563,40.28864718,47.526649,39.35021188,40.28681005,47.52740507,39.35099576,40.28819038,47.52689146,39.35049733,40.28764313,47.52963669,39.35372587,40.2899289,47.5285493,39.35259849,40.28794227,47.52865956,39.3527128,40.2881435
6300,47.59741224,39.42095449,40.33839339,47.59788122,39.42140267,40.33879822,47.59775735,39.42128247,40.33862193,47.59770187,39.42122875,40.33857404,47.59555588,39.4185627,40.33668217,47.59633432,39.41937015,40.33809498,47.59580586,39.41885649,40.3375292,47.59861274,39.42214896,40.33987773,47.59747842,39.4209723,40.33781516,47.59759347,39.42109164,40.33802413
7200,48.34409839,40.19343217,41.10938639,48.34452832,40.19384481,41.10977043,48.34448024,40.19379607,41.10966875,48.34442718,40.1937445,41.10962144,48.34247872,40.19145446,41.10785751,48.34321275,40.19221004,41.10910066,48.34271569,40.19172525,41.10855827,48.34523463,40.1945596,41.11072138,48.34418484,40.19347901,41.1089437,48.34430499,40.19360271,41.10914931
8100,48.44548521,40.29499678,41.20475846,48.44592444,40.29541885,41.20515272,48.44588671,40.29538002,41.20505962,48.44583206,40.29532687,41.20501067,48.44384612,40.29299896,41.2032043,48.44459852,40.29377355,41.20447233,48.44408841,40.29327538,41.203913,48.44664761,40.29615031,41.20611556,48.44555342,40.2950238,41.20426839,48.44567891,40.29515304,41.20448238
9000,48.54668427,40.3963619,41.30033479,48.54713272,40.39679332,41.30073911,48.54710545,40.39676453,41.30065479,48.54704923,40.39670979,41.30060422,48.54502618,40.3943444,41.29875621,48.5457966,40.39513761,41.30004828,48.54527367,40.39462633,41.29947252,48.54787304,40.39754172,41.30171437,48.54673576,40.39637069,41.29980067,48.54686643,40.39650526,41.30002265
9900,48.64766704,40.49749947,41.3960564,48.64812465,40.49794018,41.39647065,48.64810794,40.49792153,41.39639529,48.64805015,40.49786523,41.3963431,48.64599036,40.49546269,41.39445414,48.64677847,40.49627419,41.39576953,48.64624294,40.49575001,41.3951778,48.64888235,40.49870576,41.3974588,48.64770315,40.49749139,41.39548113,48.64783883,40.49763115,41.39571077
10800,48.72798178,40.57837938,41.43085517,48.72844312,40.57882419,41.43127413,48.72843819,40.57881688,41.43120934,48.72837947,40.57875962,41.43115616,48.72630609,40.57635206,41.42924961,48.72710282,40.57717249,41.43057448,48.72656048,40.57664103,41.4299727,48.729208,40.57959664,41.43226042,48.72799596,40.57834829,41.43023106,48.72813564,40.57849219,41.43046702
11700,48.82801917,40.67852317,41.52617852,48.82848946,40.67897704,41.52660709,48.8284951,40.67897992,41.52655144,48.82843483,40.67892112,41.52649668,48.82632568,40.67647736,41.5245507,48.8271394,40.67731532,41.52589744,48.82658494,40.67677147,41.52528063,48.82927193,40.6797669,41.52760703,48.82802035,40.67847771,41.52551885,48.82816474,40.67862648,41.52576181
12600,48.92778526,40.77838666,41.62152652,48.92826446,40.77884955,41.62196462,48.92828075,40.77886272,41.62191824,48.92821894,40.77880237,41.62186191,48.92607428,40.77632267,41.619877,48.92690477,40.77717791,41.62124509,48.92633834,40.77662183,41.62061359,48.92906467,40.77965696,41.62297851,48.92777431,40.77832774,41.62083333,48.92792331,40.77848127,41.62108305
13500,49.02726499,40.87795514,41.71686385,49.02775305,40.878427,41.71731137,49.02778007,40.87845056,41.71727442,49.02771672,40.87838868,41.71721652,49.02553681,40.87587328,41.71519315,49.02638386,40.87674558,41.71658212,49.02580559,40.87617741,41.7159362,49.02857114,40.87925211,41.71833952,49.02724267,40.87788356,41.71613894,49.02739619,40.87804176,41.71639522
14400,50.26231373,42.16112901,43.09723457,50.26268557,42.16149213,43.0975901,50.26281086,42.16160931,43.09766563,50.26275909,42.16155847,43.09761652,50.26113329,42.15980642,43.09605468,50.26179595,42.16048044,43.09703374,50.26133807,42.16002803,43.09651537,50.26333916,42.1621441,43.09830815,50.2621953,42.16098086,43.09657208,50.26233308,42.16112096,43.096784
15300,48.52198789,40.49333066,41.59733045,48.52205118,40.49339005,41.59739441,48.52224639,40.49357845,41.59753938,48.52220693,40.49353949,41.59750148,48.52160018,40.49280228,41.59689677,48.52189005,40.49311129,41.5975138,48.52165426,40.49287568,41.59720026,48.52233746,40.4936804,41.59774046,48.52188812,40.49319489,41.59663155,48.52188368,40.49319522,41.59671022
